league,team,ws_link,tm_link
La Liga (SPA),Valencia,/Teams/55/Show/Spain-Valencia,/fc-valencia/startseite/verein/1049
Premier Liga (RUS),FC Orenburg,/Teams/5460/Show/Russia-FC-Orenburg,/gazovik-orenburg/startseite/verein/14589
Premier Liga (RUS),Arsenal Tula,/Teams/8753/Show/Russia-Arsenal-Tula,/arsenal-tula/startseite/verein/3729
Premier Liga (RUS),Spartak Moscow,/Teams/840/Show/Russia-Spartak-Moscow,/spartak-moskau/startseite/verein/232
Premier Liga (RUS),Rubin Kazan,/Teams/2057/Show/Russia-Rubin-Kazan,/rubin-kazan/startseite/verein/2698
Premier Liga (RUS),FC Yenisey Krasnoyarsk,/Teams/4640/Show/Russia-FC-Yenisey-Krasnoyarsk,/enisey-krasnoyarsk/startseite/verein/3714
Premier Liga (RUS),Anzhi Makhachkala,/Teams/1002/Show/Russia-Anzhi-Makhachkala,/anzhi-makhachkala/startseite/verein/2700
Premier Liga (RUS),Ural,/Teams/4174/Show/Russia-Ural,/ural-sverdlovskaya-oblast/startseite/verein/11127
Premier Liga (RUS),FK Akhmat,/Teams/2407/Show/Russia-FK-Akhmat,/terek-grozny/startseite/verein/3725
Premier Liga (RUS),Zenit St. Petersburg,/Teams/560/Show/Russia-Zenit-St-Petersburg,/zenit-st-petersburg/startseite/verein/964
Premier Liga (RUS),Lokomotiv Moscow,/Teams/668/Show/Russia-Lokomotiv-Moscow,/lokomotiv-moskau/startseite/verein/932
Premier Liga (RUS),Krylya Sovetov Samara,/Teams/997/Show/Russia-Krylya-Sovetov-Samara,/krylya-sovetov-samara/startseite/verein/2696
Premier Liga (RUS),FC Ufa,/Teams/9004/Show/Russia-FC-Ufa,/fk-ufa/startseite/verein/28095
Premier Liga (RUS),CSKA Moscow,/Teams/847/Show/Russia-CSKA-Moscow,/zska-moskau/startseite/verein/2410
Premier Liga (RUS),Dinamo Moscow,/Teams/846/Show/Russia-Dinamo-Moscow,/dinamo-moskau/startseite/verein/121
Premier Liga (RUS),FC Rostov,/Teams/562/Show/Russia-FC-Rostov,/fk-rostov/startseite/verein/1083
Premier Liga (RUS),FC Krasnodar,/Teams/7164/Show/Russia-FC-Krasnodar,/fk-krasnodar/startseite/verein/16704
Bundesliga (GER),Mainz 05,/Teams/219/Show/Germany-Mainz-05,/1-fsv-mainz-05/startseite/verein/39
Bundesliga (GER),RasenBallsport Leipzig,/Teams/7614/Show/Germany-RasenBallsport-Leipzig,/rasenballsport-leipzig/startseite/verein/23826
Bundesliga (GER),Wolfsburg,/Teams/33/Show/Germany-Wolfsburg,/vfl-wolfsburg/startseite/verein/82
Bundesliga (GER),Bayern Munich,/Teams/37/Show/Germany-Bayern-Munich,/fc-bayern-munchen/startseite/verein/27
Bundesliga (GER),Hannover 96,/Teams/110/Show/Germany-Hannover-96,/hannover-96/startseite/verein/42
Bundesliga (GER),Hoffenheim,/Teams/1211/Show/Germany-Hoffenheim,/tsg-1899-hoffenheim/startseite/verein/533
Bundesliga (GER),Hertha Berlin,/Teams/47/Show/Germany-Hertha-Berlin,/hertha-bsc/startseite/verein/44
Bundesliga (GER),VfB Stuttgart,/Teams/41/Show/Germany-VfB-Stuttgart,/vfb-stuttgart/startseite/verein/79
Bundesliga (GER),Werder Bremen,/Teams/42/Show/Germany-Werder-Bremen,/sv-werder-bremen/startseite/verein/86
Bundesliga (GER),Borussia Dortmund,/Teams/44/Show/Germany-Borussia-Dortmund,/borussia-dortmund/startseite/verein/16
Bundesliga (GER),Augsburg,/Teams/1730/Show/Germany-Augsburg,/fc-augsburg/startseite/verein/167
Bundesliga (GER),Freiburg,/Teams/50/Show/Germany-Freiburg,/sc-freiburg/startseite/verein/60
Bundesliga (GER),Fortuna Duesseldorf,/Teams/1150/Show/Germany-Fortuna-Duesseldorf,/fortuna-dusseldorf/startseite/verein/38
Bundesliga (GER),Bayer Leverkusen,/Teams/36/Show/Germany-Bayer-Leverkusen,/bayer-04-leverkusen/startseite/verein/15
Bundesliga (GER),Eintracht Frankfurt,/Teams/45/Show/Germany-Eintracht-Frankfurt,/eintracht-frankfurt/startseite/verein/24
Ligue 1 (FRA),Montpellier,/Teams/311/Show/France-Montpellier,/hsc-montpellier/startseite/verein/969
Ligue 1 (FRA),Paris Saint-Germain,/Teams/304/Show/France-Paris-Saint-Germain,/fc-paris-saint-germain/startseite/verein/583
Ligue 1 (FRA),Monaco,/Teams/248/Show/France-Monaco,/as-monaco/startseite/verein/162
Ligue 1 (FRA),Strasbourg,/Teams/148/Show/France-Strasbourg,/racing-strassburg/startseite/verein/667
Ligue 1 (FRA),Marseille,/Teams/249/Show/France-Marseille,/olympique-marseille/startseite/verein/244
Ligue 1 (FRA),Nice,/Teams/613/Show/France-Nice,/ogc-nizza/startseite/verein/417
Ligue 1 (FRA),Reims,/Teams/950/Show/France-Reims,/stade-reims/startseite/verein/1421
Ligue 1 (FRA),Bordeaux,/Teams/315/Show/France-Bordeaux,/fc-girondins-bordeaux/startseite/verein/40
Ligue 1 (FRA),Angers,/Teams/614/Show/France-Angers,/sco-angers/startseite/verein/1420
Ligue 1 (FRA),Guingamp,/Teams/426/Show/France-Guingamp,/ea-guingamp/startseite/verein/855
Ligue 1 (FRA),Caen,/Teams/347/Show/France-Caen,/sm-caen/startseite/verein/1162
Ligue 1 (FRA),Toulouse,/Teams/246/Show/France-Toulouse,/fc-toulouse/startseite/verein/415
Ligue 1 (FRA),Amiens,/Teams/151/Show/France-Amiens,/sc-amiens/startseite/verein/1416
Ligue 1 (FRA),Nantes,/Teams/302/Show/France-Nantes,/fc-nantes/startseite/verein/995
Ligue 1 (FRA),Dijon,/Teams/1364/Show/France-Dijon,/fco-dijon/startseite/verein/2969
Ligue 1 (FRA),Lyon,/Teams/228/Show/France-Lyon,/olympique-lyon/startseite/verein/1041
Ligue 1 (FRA),Lille,/Teams/607/Show/France-Lille,/osc-lille/startseite/verein/1082
Bundesliga 2 (GER),Duisburg,/Teams/35/Show/Germany-Duisburg,/msv-duisburg/startseite/verein/52
Bundesliga 2 (GER),Arminia Bielefeld,/Teams/40/Show/Germany-Arminia-Bielefeld,/arminia-bielefeld/startseite/verein/10
Bundesliga 2 (GER),Paderborn,/Teams/810/Show/Germany-Paderborn,/sc-paderborn-07/startseite/verein/127
Bundesliga 2 (GER),Dynamo Dresden,/Teams/1731/Show/Germany-Dynamo-Dresden,/dynamo-dresden/startseite/verein/129
Bundesliga 2 (GER),St. Pauli,/Teams/283/Show/Germany-St-Pauli,/fc-st-pauli/startseite/verein/35
Bundesliga 2 (GER),FC Heidenheim,/Teams/4852/Show/Germany-FC-Heidenheim,/1-fc-heidenheim/startseite/verein/2036
Bundesliga 2 (GER),Sandhausen,/Teams/3882/Show/Germany-Sandhausen,/sv-sandhausen/startseite/verein/254
