player,lastname,team,link_tm,link_ws
Sepp van den Berg,Berg,PEC Zwolle,/sepp-van-den-berg/profil/spieler/541231,/Players/351705/Show/Sepp-van-den-Berg
Ouasim Bouy,Bouy,PEC Zwolle,/ouasim-bouy/profil/spieler/126412,/Players/96571/Show/Ouasim-Bouy
Rick Dekker,Dekker,PEC Zwolle,/rick-dekker/profil/spieler/299121,/Players/231009/Show/Rick-Dekker
Zian Flemming,Flemming,PEC Zwolle,/zian-flemming/profil/spieler/411537,/Players/361694/Show/Zian-Flemming
Clint Leemans,Leemans,PEC Zwolle,/clint-leemans/profil/spieler/250464,/Players/244640/Show/Clint-Leemans
Stanley Elbers,Elbers,PEC Zwolle,/stanley-elbers/profil/spieler/188905,/Players/120329/Show/Stanley-Elbers
Vito van Crooij,Crooij,PEC Zwolle,/vito-van-crooij/profil/spieler/312493,/Players/343314/Show/Vito-van-Crooij
Mike van Duinen,Duinen,PEC Zwolle,/mike-van-duinen/profil/spieler/183397,/Players/100608/Show/Mike-van-Duinen
Lennart Thy,Thy,PEC Zwolle,/lennart-thy/profil/spieler/23553,/Players/84195/Show/Lennart-Thy
Younes Namli,Namli,PEC Zwolle,/younes-namli/profil/spieler/227039,/Players/259930/Show/Younes-Namli
Thomas Lam,Lam,PEC Zwolle,/thomas-lam/profil/spieler/131821,/Players/104906/Show/Thomas-Lam
Asmir Begovic,Begovic,Bournemouth,/asmir-begovic/profil/spieler/33873,/Players/23122/Show/Asmir-Begovic
Mark Travers,Travers,Bournemouth,/mark-travers/profil/spieler/357658,/Players/362806/Show/Mark-Travers
Jack Simpson,Simpson,Bournemouth,/jack-simpson/profil/spieler/419930,/Players/302862/Show/Jack-Simpson
Diego Rico,Rico,Bournemouth,/diego-rico/profil/spieler/249513,/Players/323352/Show/Diego-Rico
Charlie Daniels,Daniels,Bournemouth,/charlie-daniels/profil/spieler/61819,/Players/24827/Show/Charlie-Daniels
Nathaniel Clyne,Clyne,Bournemouth,/nathaniel-clyne/profil/spieler/85177,/Players/69375/Show/Nathaniel-Clyne
Adam Smith,Smith,Bournemouth,/adam-smith/profil/spieler/61841,/Players/69877/Show/Adam-Smith
Simon Francis,Francis,Bournemouth,/simon-francis/profil/spieler/13573,/Players/9298/Show/Simon-Francis
Jefferson Lerma,Lerma,Bournemouth,/jefferson-lerma/profil/spieler/262980,/Players/133464/Show/Jefferson-Lerma
Dan Gosling,Gosling,Bournemouth,/dan-gosling/profil/spieler/44983,/Players/13846/Show/Dan-Gosling
Andrew Surman,Surman,Bournemouth,/andrew-surman/profil/spieler/29975,/Players/13447/Show/Andrew-Surman
Junior Stanislas,Stanislas,Bournemouth,/junior-stanislas/profil/spieler/87672,/Players/69912/Show/Junior-Stanislas
Jordon Ibe,Ibe,Bournemouth,/jordon-ibe/profil/spieler/195652,/Players/105797/Show/Jordon-Ibe
Dominic Solanke,Solanke,Bournemouth,/dominic-solanke/profil/spieler/258889,/Players/136459/Show/Dominic-Solanke
