link,nationality,minutes,agent
/florian-kruger/profil/spieler/317740,Germany,44,ROGON
/cameron-carter-vickers/profil/spieler/341049,United States,553,Sports Empire ...
/lewis-walker/profil/spieler/430801,England,0,No agent
/rui-patricio/profil/spieler/45026,Portugal,7179,Gestifute
/magomed-elmurzaev/profil/spieler/450282,Russia,0,No agent
/ivan-arboleda/profil/spieler/260740,Colombia,90,No agent
/alvaro-raton/profil/spieler/248551,Spain,0,Proneo Sports S.L.
/wesley-lautoa/profil/spieler/154199,France,0,No agent
/diogo-goncalves/profil/spieler/258015,Portugal,0,Gestifute
/tomas-rincon/profil/spieler/75942,Venezuela,7844,Go Pro Sport ...
/samuel-chukwueze/profil/spieler/401922,Nigeria,45,10Management
/simone-iacoponi/profil/spieler/59699,Italy,0,Football Company Srl
/oliver-sorg/profil/spieler/55114,Germany,82,ISMG International
/marcos-acuna/profil/spieler/60410,Argentina,908,MVP Group
/xadas/profil/spieler/345345,Portugal,313,Relatives
/nicola-dalmonte/profil/spieler/301237,Italy,259,P&P Sport ...
/lennart-thy/profil/spieler/23553,Germany,0,EMG Mundial
/juan-andrada/profil/spieler/457212,Argentina,0,No agent
/jan-moravek/profil/spieler/63022,Czech Republic,72,MSG-Agency
/nicolas-domingo/profil/spieler/39150,Argentina,0,Sivori & Asociados ...
/kevin-kampl/profil/spieler/53418,Slovenia,2244,MR Sport Management ...
/kofi-opare/profil/spieler/256357,United States,0,no agent
/mitchell-dijks/profil/spieler/187245,Netherlands,0,ESA Soccer
/gotoku-sakai/profil/spieler/103310,Japan,2958,Sven Jäger & Guido ...
/vlad-chiriches/profil/spieler/123261,Romania,4678,Pietro Chiodi ...
/artur-nigmatullin/profil/spieler/70074,Russia,0,ESA
/romain-thomas/profil/spieler/57467,France,0,Sport Profile
/derrick-luckassen/profil/spieler/241457,Netherlands,0,Mino Raiola
/oscar-trejo/profil/spieler/30321,Argentina,0,Eleven Talent Group
/dominik-reimann/profil/spieler/238722,Germany,180,Coaches & More GmbH
/moataz-zemzemi/profil/spieler/422893,Tunisia,0,Relatives
/nils-roseler/profil/spieler/47740,Germany,0,Bigpoint
/tomer-hemed/profil/spieler/112668,Israel,2071,Stellar Football Ltd
/olivier-boscagli/profil/spieler/318508,France,428,No agent
/tristan-dekker/profil/spieler/315124,Netherlands,44,Juzzt Football
/jan-kral/profil/spieler/358132,Czech Republic,0,Harry Schiestl
/jovane-cabral/profil/spieler/448466,Cape Verde,5,Invictus Team
/alex-ferrari/profil/spieler/197491,Italy,0,Francesco Romano
/marwin-reuvers/profil/spieler/470910,Netherlands,0,Supervision ...
/ayo-akinola/profil/spieler/370979,United States,738,No agent
/alessandro-murgia/profil/spieler/289061,Italy,724,Alessandro Lucci - ...
/daniel-didavi/profil/spieler/57995,Germany,200,Karlheinz Förster
/andrey-lunev/profil/spieler/112541,Russia,630,No agent
/ilkay-gundogan/profil/spieler/53622,Germany,1797,Family & Football
/dani-parejo/profil/spieler/59561,Spain,85,AC Talent
/sandro-wagner/profil/spieler/39743,Germany,444,Rummenigge Sport ...
/nikola-vlasic/profil/spieler/293200,Croatia,215,StarFactory
/svante-ingelsson/profil/spieler/321079,Sweden,0,Global Soccer ...
/yannick-stark/profil/spieler/49737,Germany,0,Karl M. Herzog ...
/pablo-mari/profil/spieler/210178,Spain,0,AC Talent
/rui-silva/profil/spieler/234811,Portugal,0,Soccer ProMaster
/gedion-zelalem/profil/spieler/228370,United States,107,Key Sports ...
/thijmen-goppel/profil/spieler/342240,Netherlands,0,Juzzt Football
