current_value,highest_value,outfitter,last_team,prev_team,prev_prev_team,link
£225k,£1.13m,None,Chicago Fire,ADO Den Haag,FC Voluntari,/john-goossens/profil/spieler/35527
£495k,£3.38m,None,Antalyaspor,Eskisehirspor,West Ham,/ruud-boffin/profil/spieler/31336
£450k,£9.00m,None,Marseille,Trabzonspor,Marseille,/tomas-hubocan/profil/spieler/63252
£405k,£405k,None,ADO Den Haag,FC Emmen,ADO Den Haag,/nick-kuipers/profil/spieler/159032
£1.80m,£17.10m,None,Alanyaspor,SD Luneng,Newcastle,/papiss-demba-cisse/profil/spieler/33952
£675k,£900k,None,Bolton,Millwall,Bolton,/ben-amos/profil/spieler/73472
£1.35m,£1.80m,None,Chaves,Rad,Rad U19,/nikola-maras/profil/spieler/258475
£225k,£225k,None,1. FC Köln,Holstein Kiel,1. FC Köln,/yann-aurel-bisseck/profil/spieler/441986
£13.50m,£13.50m,None,Athletic,Bilbao Athletic,CD Basconia,/yeray-alvarez/profil/spieler/255488
£765k,£765k,None,Estudiantes,Estudiantes II,Estudiantes U20,/ivan-gomez/profil/spieler/459318
£900k,£31.50m,None,FC Porto,Real Madrid,Real Madrid B,/iker-casillas/profil/spieler/3979
£360k,£405k,None,SV Sandhausen,Hallescher FC,VfL Bochum II,/maximilian-jansen/profil/spieler/149209
£360k,£360k,None,VfL Bochum,FC Wacker,Grödig,/dominik-baumgartner/profil/spieler/206906
£180k,£180k,None,Colorado,Charlotte Ind.,Colorado,/niki-jackson/profil/spieler/544390
£900k,£900k,None,Montpellier,Defensor,Defensor U19,/mathias-suarez/profil/spieler/294895
£900k,£2.93m,None,Braga,RCD Mallorca,Braga,/nikola-stojiljkovic/profil/spieler/113504
£360k,£360k,None,PSV U21,PSV U19,PSV U17,/jordan-teze/profil/spieler/364245
£2.25m,£6.75m,None,Levante,Braga,Braga B,/nikola-vukcevic/profil/spieler/151470
£22.50m,£22.50m,None,Real Sociedad,Real Madrid,Real Sociedad,/asier-illarramendi/profil/spieler/59344
£4.95m,£27.90m,None,Zenit S-Pb,Juventus,FC Empoli,/claudio-marchisio/profil/spieler/44716
£270k,£270k,None,RCD Mallorca,RCD Mallorca B,Barakaldo CF,/iddrisu-baba/profil/spieler/442805
£4.05m,£4.05m,None,Krasnodar,AIK,FC Midtjylland,/kristoffer-olsson/profil/spieler/193592
£5.85m,£5.85m,None,CSKA Moscow,Rubin Kazan,Rubin Kazan II,/ilzat-akhmetov/profil/spieler/334440
£22.50m,£22.50m,None,Everton,FC Barcelona,Paris SG,/lucas-digne/profil/spieler/126664
£900k,£900k,None,Akhmat Grozny,Ponte Preta,Ponte Preta U17,/ravanelli/profil/spieler/390370
£144.00m,£162.00m,None,FC Barcelona,FC Barcelona B,Barcelona C,/lionel-messi/profil/spieler/28003
£7.20m,£16.20m,None,SSC Napoli,Real Madrid,Valencia,/raul-albiol/profil/spieler/15452
£158k,£2.25m,None,Quilmes,Estudiantes,Estudiantes,/rodrigo-brana/profil/spieler/56001
£2.70m,£2.70m,None,Werder Bremen,W. Bremen II,St. Louis SGM,/josh-sargent/profil/spieler/393325
£720k,£1.13m,None,San Lorenzo,Atl. Nacional,Boca Juniors,/gonzalo-castellani/profil/spieler/87840
£4.50m,£4.50m,None,Bay. Leverkusen,FC Augsburg,Bay. Leverkusen,/dominik-kohr/profil/spieler/118847
£1.08m,£1.08m,None,CSKA Moscow,Lech Poznan,CSKA Moscow,/timur-zhamaletdinov/profil/spieler/315557
£360k,£450k,None,Chievo Verona,Cracovia Kraków,Cracovia II,/pawel-jaroszynski/profil/spieler/287600
£5.40m,£5.40m,None,FC Augsburg,RB Leipzig,VfB Stuttgart,/rani-khedira/profil/spieler/124410
£5.40m,£5.40m,None,Defensa,Newell's II,Defensa,/lisandro-martinez/profil/spieler/480762
£675k,£675k,None,Y. Malatyaspor,Kasimpasa,Rapid Wien II,/ahmed-ildiz/profil/spieler/226169
£3.60m,£3.60m,None,Levante,Nacional,Levante,/erick-cabaco/profil/spieler/302991
£158k,£3.15m,None,Antalyaspor,Galatasaray,Antalyaspor,/salih-dursun/profil/spieler/176961
£1.35m,£1.80m,None,F. Düsseldorf,Burnley,F. Düsseldorf,/rouwen-hennings/profil/spieler/16311
£4.50m,£5.40m,None,Newcastle,Atlético Madrid,Sunderland,/javier-manquillo/profil/spieler/162029
£1.80m,£1.80m,None,SCO Angers,SCO Angers B,No_team,/vincent-manceau/profil/spieler/83132
£1.08m,£1.58m,None,Konyaspor,Göztepe,KS Samara,/adis-jahovic/profil/spieler/98536
£6.30m,£6.30m,None,Swansea,Aston Villa,Swansea,/tom-carroll/profil/spieler/121279
£1.53m,£8.55m,None,Parma,Inter,Sparta Praha,/jonathan-biabiany/profil/spieler/45567
£675k,£900k,None,Boca Juniors,CA Rosario,Boca Juniors,/nahuel-molina/profil/spieler/424042
£4.50m,£4.50m,None,R. Strasbourg,Real Betis,Montpellier,/jonas-martin/profil/spieler/127142
£450k,£450k,None,SC Paderborn,F. Düsseldorf,SC Paderborn,/marlon-ritter/profil/spieler/151636
£1.80m,£1.80m,None,HB CFFC,RS Berkane,RAC Casablanca,/ayoub-el-kaabi/profil/spieler/521127
£4.50m,£4.50m,None,Bournemouth,Spurs,Derby,/adam-smith/profil/spieler/61841
£1.80m,£1.80m,None,Huddersfield,1.FC K'lautern,Bor. Dortmund,/chris-lowe/profil/spieler/55125
£68k,£68k,None,ADO U19,VVV-Venlo,ADO U19,/sem-steijn/profil/spieler/593519
£27.00m,£27.00m,None,FC Porto,Galatasaray,Inter,/alex-telles/profil/spieler/255755
£9.00m,£9.00m,None,PSV Eindhoven,PSV U19,PSV U17,/jorrit-hendrix/profil/spieler/205004
£72.00m,£81.00m,None,Real Madrid,Espanyol,Real Madrid,/marco-asensio/profil/spieler/296622
£13.50m,£13.50m,None,VfB Stuttgart,Stuttgart II,Stuttgart U19,/timo-baumgartl/profil/spieler/187491
£720k,£6.75m,None,Villarreal,Espanyol,Valencia,/javi-fuego/profil/spieler/56134
£540k,£900k,None,Chaves,Benfica B,Vitória Setúbal,/joao-teixeira/profil/spieler/182710
£1.35m,£2.52m,None,Montpellier,Akhmat Grozny,Montpellier,/facundo-piriz/profil/spieler/148607
£2.25m,£2.25m,None,PEC Zwolle,Heerenveen,Akademisk BK,/younes-namli/profil/spieler/227039
£1.80m,£1.80m,None,Bologna,AS Roma,Foggia,/arturo-calabresi/profil/spieler/240897
£45.00m,£45.00m,None,Bayern Munich,TSG Hoffenheim,Hoffenheim II,/niklas-sule/profil/spieler/166601
£3.60m,£3.60m,None,West Brom,Swansea,Leeds,/kyle-bartley/profil/spieler/67421
£225k,£225k,None,QPR,Rotherham,QPR,/ryan-manning/profil/spieler/262300
0,0,None,CA Independient,Montreal Impact,CA Independient,/omar-browne/profil/spieler/189523
£3.15m,£3.15m,None,Krasnodar,Zenit S-Pb,KS Samara,/sergey-petrov/profil/spieler/102581
£2.70m,£2.70m,None,Defensa,Newell's,Newell's II,/ezequiel-unsain/profil/spieler/337600
£5.40m,£7.20m,None,Monaco,Nottm Forest,Monaco,/pele/profil/spieler/99189
£1.80m,£15.75m,None,Sampdoria,Torino,Sampdoria,/fabio-quagliarella/profil/spieler/22328
£1.35m,£4.50m,None,Alavés,Panathinaikos,Granada CF,/mubarak-wakaso/profil/spieler/45639
£630k,£1.53m,None,Rio Ave FC,Chaves,CFR Cluj,/lionn/profil/spieler/75116
£180k,£225k,None,Argentinos Jrs,Tigre,CA Temperley,/gaston-bojanich/profil/spieler/357337
£16.20m,£16.20m,None,Udinese Calcio,Valencia,Racing Club,/rodrigo-de-paul/profil/spieler/255901
£7.20m,£10.35m,None,Stoke City,FC Porto,Stoke City,/bruno-martins-indi/profil/spieler/112052
£1.80m,£1.80m,None,SCO Angers,Clermont Foot,Quevilly-Rouen,/pierrick-capelle/profil/spieler/214532
£1.80m,£1.80m,None,Toronto FC,TFC Academy,SC Toronto,/jonathan-osorio/profil/spieler/260807
£720k,£720k,None,Real Zaragoza,Dinamo Tbilisi,W. Bremen II,/giorgi-papunashvili/profil/spieler/214259
£270k,£450k,None,Toronto FC,Colorado,FC Dallas,/drew-moor/profil/spieler/39503
£40.50m,£40.50m,None,Bay. Leverkusen,Wolfsburg U19,Wolfsburg U17,/julian-brandt/profil/spieler/187492
£630k,£675k,None,1.FC Heidenheim,Lech Poznan,1.FC Heidenheim,/denis-thomalla/profil/spieler/94030
£27.00m,£45.00m,None,Real Madrid,Sevilla FC,Sevilla B,/sergio-ramos/profil/spieler/25557
£720k,£900k,None,Sevilla FC,CD Lugo,Sevilla FC,/giorgi-aburjania/profil/spieler/186848
£450k,£675k,None,Wigan,Charlton,Wigan,/nathan-byrne/profil/spieler/121276
£3.15m,£3.60m,None,SM Caen,Getafe,Dep. La Coruña,/faycal-fajr/profil/spieler/174344
0,0,None,Vitesse U19,Vitesse U21,Vitesse U21,/richonell-margaret/profil/spieler/465326
£68k,£68k,None,Belenenses SAD,Belenenses U23,Sporting B,/guilherme-oliveira/profil/spieler/257369
£540k,£1.62m,None,Spartak Moscow,Shinnik,Saturn,/artem-rebrov/profil/spieler/15680
£900k,£3.15m,None,Nottm Forest,Leicester,Fiorentina,/yohan-benalouane/profil/spieler/50477
0,0,None,Independiente,CD Morón,Colegiales,/milton-alvarez/profil/spieler/526527
£630k,£720k,None,Colorado,AIK,Halmstad,/johan-blomberg/profil/spieler/107539
