age,link
26,/kyle-vassell/profil/spieler/293002
33,/laurent-ciman/profil/spieler/22338
18,/kik-pierie/profil/spieler/361207
28,/richard-magyar/profil/spieler/148727
22,/arthur/profil/spieler/362842
29,/vincent-laurini/profil/spieler/94936
32,/danilo-silva/profil/spieler/61952
33,/osvaldo-alonso/profil/spieler/62810
23,/tobias-mohr/profil/spieler/153661
23,/hee-chan-hwang/profil/spieler/292246
19,/lautaro-guzman/profil/spieler/626916
34,/martin-skrtel/profil/spieler/24180
24,/julian-pollersbeck/profil/spieler/228975
24,/deni-milosevic/profil/spieler/168163
28,/ze-luis/profil/spieler/134602
22,/mathias-normann/profil/spieler/257805
23,/timo-werner/profil/spieler/170527
30,/ismael-quilez/profil/spieler/91360
31,/beram-kayal/profil/spieler/44741
32,/valter-birsa/profil/spieler/26105
23,/alex-muyl/profil/spieler/413690
31,/romain-genevois/profil/spieler/57525
26,/mohamed-elneny/profil/spieler/160438
20,/tom-davies/profil/spieler/314210
19,/sam-vines/profil/spieler/535282
24,/albert-rusnak/profil/spieler/43228
23,/enrique-borja/profil/spieler/417326
21,/marcus-thuram/profil/spieler/318528
24,/robert-andrich/profil/spieler/159088
27,/zac-macmath/profil/spieler/156300
25,/sven-braken/profil/spieler/185400
22,/okechukwu-azubuike/profil/spieler/386126
26,/michael-brouwer/profil/spieler/231650
25,/egor-baburin/profil/spieler/146918
27,/sadio-mane/profil/spieler/200512
20,/kristofer-kristinsson/profil/spieler/400174
19,/evens-joseph/profil/spieler/593320
26,/lukas-kubler/profil/spieler/93604
27,/marvin-plattenhardt/profil/spieler/89592
23,/emerson-hyndman/profil/spieler/223047
31,/darwin-quintero/profil/spieler/55666
23,/manuel-castro/profil/spieler/335984
29,/wilson-kamavuaka/profil/spieler/55512
26,/jese/profil/spieler/134936
28,/marco-dalessandro/profil/spieler/99232
27,/lucas-vazquez/profil/spieler/221316
33,/yekta-kurtulus/profil/spieler/63204
22,/raul-guti/profil/spieler/330352
28,/abdul-aziz-tetteh/profil/spieler/157003
18,/franck-evina/profil/spieler/336331
27,/ruben-pena/profil/spieler/238868
26,/keagan-dolly/profil/spieler/234006
23,/lewis-wing/profil/spieler/517286
26,/federico-cartabia/profil/spieler/242548
24,/isaac-hayden/profil/spieler/206225
26,/jack-butland/profil/spieler/128899
35,/michael-dawson/profil/spieler/9988
27,/aly-ghazal/profil/spieler/254981
28,/martin-montoya/profil/spieler/68645
23,/cristian-pavon/profil/spieler/373170
25,/alvaro-medran/profil/spieler/253839
30,/samba-sow/profil/spieler/89461
24,/alejandro-romero-gamarra/profil/spieler/355817
23,/oghenekaro-etebo/profil/spieler/409106
33,/khaled-adenon/profil/spieler/39174
28,/michael-hefele/profil/spieler/102382
32,/aatif-chahechouhe/profil/spieler/73480
22,/ramon-pascal-lundqvist/profil/spieler/238084
27,/nouha-dicko/profil/spieler/173750
28,/mustafa-akbas/profil/spieler/98113
27,/marakis/profil/spieler/188669
31,/cristian-chavez/profil/spieler/70132
25,/lazar-markovic/profil/spieler/144303
35,/maksim-semakin/profil/spieler/72165
20,/zian-flemming/profil/spieler/411537
32,/robert-strauss/profil/spieler/18068
21,/toni-lato/profil/spieler/320271
23,/jack-grealish/profil/spieler/203460
30,/tim-matavz/profil/spieler/50303
31,/albert-adomah/profil/spieler/83430
24,/kiki/profil/spieler/270055
24,/jake-nerwinski/profil/spieler/482612
19,/eljif-elmas/profil/spieler/400489
32,/dimitri-payet/profil/spieler/37647
30,/sven-ulreich/profil/spieler/40680
27,/danilo-soares/profil/spieler/154396
29,/robert-muhren/profil/spieler/186763
29,/johnny-russell/profil/spieler/55494
28,/henri-lansbury/profil/spieler/44794
20,/brandon-servania/profil/spieler/455979
23,/jailson/profil/spieler/366948
26,/britt-assombalonga/profil/spieler/186172
26,/conor-townsend/profil/spieler/146509
31,/ivan-markelov/profil/spieler/106569
31,/marcelo/profil/spieler/52920
32,/anton-shunin/profil/spieler/37549
29,/mikel-san-jose/profil/spieler/52469
32,/jan-vertonghen/profil/spieler/43250
26,/eric-miller/profil/spieler/245315
21,/kyle-duncan/profil/spieler/349699
21,/emmanuel-iyoha/profil/spieler/314245
31,/romulo/profil/spieler/121756
20,/murat-cem-akpinar/profil/spieler/388913
19,/luca-plogmann/profil/spieler/335997
30,/erwin-mulder/profil/spieler/56631
25,/david-junca/profil/spieler/164055
34,/matias-caruzzo/profil/spieler/56573
27,/vitor-goncalves/profil/spieler/194547
31,/markel-susaeta/profil/spieler/54245
25,/brice-samba/profil/spieler/191056
26,/geronimo-rulli/profil/spieler/229604
27,/andrej-kramaric/profil/spieler/46580
32,/anaitz-arbilla/profil/spieler/71548
29,/alan/profil/spieler/73460
29,/benjamin-hubner/profil/spieler/52348
20,/kevin-lankford/profil/spieler/338879
36,/enis-hajri/profil/spieler/28735
34,/steve-mandanda/profil/spieler/23951
31,/raul-navas/profil/spieler/142419
25,/adrien-thomasson/profil/spieler/215977
25,/joshua-brenet/profil/spieler/207006
25,/erick-pulgar/profil/spieler/215616
39,/nick-rimando/profil/spieler/39434
24,/lucas-villalba/profil/spieler/240913
31,/simon-dawkins/profil/spieler/57488
28,/vitus-eicher/profil/spieler/57796
23,/fabian-ruiz/profil/spieler/350219
26,/carlos-akapo/profil/spieler/225015
25,/niltinho/profil/spieler/271353
25,/borys-tashchy/profil/spieler/138292
30,/aron-gunnarsson/profil/spieler/63821
27,/william/profil/spieler/153207
30,/toni-sunjic/profil/spieler/60790
24,/antonin-barak/profil/spieler/272261
21,/callum-connolly/profil/spieler/308632
21,/joe-gomez/profil/spieler/256178
22,/junio/profil/spieler/520469
24,/elhadji-pape-diaw/profil/spieler/410238
26,/florian-thauvin/profil/spieler/184892
20,/miguel-luis/profil/spieler/357161
33,/carlos-martinez/profil/spieler/58074
19,/yannis-ammour/profil/spieler/420782
29,/facundo-sanchez/profil/spieler/107523
24,/leo-stulac/profil/spieler/171159
24,/solly-march/profil/spieler/209212
28,/sebastian-griesbeck/profil/spieler/153555
27,/lewis-dunk/profil/spieler/148153
22,/bart-ramselaar/profil/spieler/326701
20,/roman-tugarev/profil/spieler/289643
31,/vladimir-rykov/profil/spieler/117802
24,/greg-leigh/profil/spieler/201586
26,/costinha/profil/spieler/236886
22,/alex-meret/profil/spieler/240414
22,/joao-carvalho/profil/spieler/258005
25,/ayoze-perez/profil/spieler/246968
30,/lukas-jutkiewicz/profil/spieler/33507
25,/mohammed-osman/profil/spieler/273431
18,/jaakko-oksanen/profil/spieler/433893
28,/oualid-el-hajjam/profil/spieler/283127
26,/taleb-tawatha/profil/spieler/60761
30,/jonathas/profil/spieler/58345
27,/moryke-fofana/profil/spieler/240497
32,/adrian-calello/profil/spieler/55911
21,/daniel-james/profil/spieler/319301
20,/baris-ekincier/profil/spieler/383223
25,/jack-robinson/profil/spieler/128909
25,/kevin-mohwald/profil/spieler/94137
21,/christian-kouame/profil/spieler/337725
21,/mucahit-can-akcay/profil/spieler/315202
22,/mohamed-drager/profil/spieler/192167
29,/joao-talocha/profil/spieler/205116
33,/reto-ziegler/profil/spieler/9915
