link,search,results
/wesley-lautoa/profil/spieler/154199,Wesley+Lautoa+Dijon,52300
/diogo-goncalves/profil/spieler/258015,Diogo+Gonçalves+Nottingham+Forest,365000
/tomas-rincon/profil/spieler/75942,Tomás+Rincón+Torino,643000
/samuel-chukwueze/profil/spieler/401922,Samuel+Chukwueze+Villarreal,188000
/simone-iacoponi/profil/spieler/59699,Simone+Iacoponi+Parma+Calcio+1913,25800
/oliver-sorg/profil/spieler/55114,Oliver+Sorg+Hannover+96,136000
/marcos-acuna/profil/spieler/60410,Marcos+Acuña+Sporting+CP,140000
/xadas/profil/spieler/345345,Bruno+Xadas+Braga,87500
/nicola-dalmonte/profil/spieler/301237,Nicola+Dalmonte+Genoa,163000
/lennart-thy/profil/spieler/23553,Lennart+Thy+PEC+Zwolle,63100
/juan-andrada/profil/spieler/457212,Juan+Andrada+Godoy+Cruz,445000
/jan-moravek/profil/spieler/63022,Jan+Morávek+Augsburg,81500
/nicolas-domingo/profil/spieler/39150,Nicolás+Domingo+Independiente,11300000
/kevin-kampl/profil/spieler/53418,Kevin+Kampl+RasenBallsport+Leipzig,242000
/kofi-opare/profil/spieler/256357,Kofi+Opare+Colorado+Rapids,23700
/mitchell-dijks/profil/spieler/187245,Mitchell+Dijks+Bologna,218000
/gotoku-sakai/profil/spieler/103310,Gotoku+Sakai+Hamburger+SV,224000
/vlad-chiriches/profil/spieler/123261,Vlad+Chiriches+Napoli,136000
/artur-nigmatullin/profil/spieler/70074,Artur+Nigmatullin+Arsenal+Tula,26100
/romain-thomas/profil/spieler/57467,Romain+Thomas+Angers,2410000
/derrick-luckassen/profil/spieler/241457,Derrick+Luckassen+Hertha+Berlin,50700
/oscar-trejo/profil/spieler/30321,Óscar+Trejo+Rayo+Vallecano,95800
/dominik-reimann/profil/spieler/238722,Dominik+Reimann+Holstein+Kiel,47200
/moataz-zemzemi/profil/spieler/422893,Moataz+Zemzemi+Strasbourg,19700
/nils-roseler/profil/spieler/47740,Nils+Röseler+VVV-Venlo,39700
/tomer-hemed/profil/spieler/112668,Tomer+Hemed+Queens+Park+Rangers,62400
/olivier-boscagli/profil/spieler/318508,Olivier+Boscagli+Nice,67600
/tristan-dekker/profil/spieler/315124,Tristan+Dekker+VVV-Venlo,65400
/jan-kral/profil/spieler/358132,Jan+Kral+Erzgebirge+Aue,42500
/jovane-cabral/profil/spieler/448466,Jovane+Cabral+Sporting+CP,67000
