name,position,height,weight,team,pos_def,pref_side,sides
Álvaro Vadillo,"Attacking Midfielder (Left, Right)",180.0,69.0,Granada,Midfielder,Left,2
Stefan Johansen,Midfielder (Centre),182.0,78.0,West Bromwich Albion,Midfielder,Centre,1
Iker Muniain,"Attacking Midfielder (Centre, Left, Right)",170.0,65.0,Athletic Bilbao,Midfielder,Centre,3
Daniel Heuer Fernandes,Goalkeeper,188.0,81.0,Darmstadt,Goalkeeper,None,1
Jason Puncheon,"Midfielder (Centre, Left, Right)",173.0,70.0,Huddersfield,Midfielder,Centre,3
Cian Harries,Defender,185.0,72.0,Swansea,Defender,None,1
Oliver Skipp,Midfielder,176.82833333333335,72.9825,Tottenham,Midfielder,None,1
Kylian Mbappé,"Attacking Midfielder (Left, Right)",178.0,73.0,Paris Saint-Germain,Midfielder,Left,2
Edimilson Fernandes,"Midfielder (Centre, Right)",190.0,70.0,Fiorentina,Midfielder,Centre,2
Kortney Hause,"Defender (Centre, Left)",189.0,77.0,Aston Villa,Defender,Centre,2
Minhoca,Attacking Midfielder (Left),175.0,74.0,Santa Clara,Midfielder,Left,1
Gersom Klok,Defender (Right),175.0,78.0,FC Emmen,Defender,Right,1
Georgios Tzavellas,"Defender (Centre, Left)",183.0,79.0,Alanyaspor,Defender,Centre,2
David Costas,Defender (Centre),184.0,71.0,Celta Vigo,Defender,Centre,1
Marcus Epps,Attacking Midfielder (Right),180.0,75.0,New York Red Bulls,Midfielder,Right,1
Odil Akhmedov,"Midfielder (Centre, Left, Right)",181.0,73.0,Shanghai SIPG FC,Midfielder,Centre,3
Javier Gandolfi,Defender (Centre),175.0,72.0,Talleres,Defender,Centre,1
Dániel Sallói,Attacking Midfielder (Left),185.0,68.0,Sporting Kansas City,Midfielder,Left,1
Cheyenne Dunkley,Defender (Centre),188.0,85.0,Wigan,Defender,Centre,1
Martin Hinteregger,Defender (Centre),186.0,83.0,Eintracht Frankfurt,Defender,Centre,1
Erik Holt,Defender,185.0,74.0,Real Salt Lake,Defender,None,1
Tim Knipping,Defender (Centre),189.0,82.0,Sandhausen,Defender,Centre,1
Ryad Boudebouz,"Midfielder (Centre, Left, Right)",177.0,70.0,Celta Vigo,Midfielder,Centre,3
Marek Hamsik,Attacking Midfielder (Centre),183.0,79.0,Dalian Yifang,Midfielder,Centre,1
