link,age_group,days_miss,games_miss,miss_days_per_y
/dogukan-sinik/profil/spieler/370833,Sub_20,73.0,8.0,18.25
/mikhail-ignatov/profil/spieler/419672,Sub_20,33.0,5.0,11.0
/orel-mangala/profil/spieler/289592,21-23,22.0,3.0,4.4
/nils-butzen/profil/spieler/151105,24-26,43.0,5.0,4.3
/steffen-schafer/profil/spieler/119291,24-26,16.0,4.0,1.7777777777777777
/luca-sangalli/profil/spieler/289286,24-26,185.0,26.0,23.125
/tommy-elphick/profil/spieler/37152,31-34,163.0,27.0,10.866666666666667
/salvatore-sirigu/profil/spieler/25508,31-34,43.0,10.0,2.6875
/ander-capa/profil/spieler/197545,27-30,58.0,8.0,5.2727272727272725
/pablo-valcarce/profil/spieler/365313,24-26,174.0,23.0,17.4
/georgi-zotov/profil/spieler/113235,27-30,14.0,1.0,1.0769230769230769
/christian-fernandez/profil/spieler/48294,31-34,220.0,31.0,12.941176470588236
/djordje-mihailovic/profil/spieler/484756,Sub_20,288.0,30.0,72.0
/juan-foyth/profil/spieler/480763,21-23,63.0,7.0,12.6
/eder/profil/spieler/37418,31-34,180.0,19.0,11.25
/diogo-leite/profil/spieler/357156,Sub_20,73.0,8.0,18.25
/kyle-vassell/profil/spieler/293002,24-26,174.0,23.0,17.4
/laurent-ciman/profil/spieler/22338,31-34,28.0,3.0,1.6470588235294117
/kik-pierie/profil/spieler/361207,Sub_20,73.0,8.0,36.5
/richard-magyar/profil/spieler/148727,27-30,104.0,20.0,8.666666666666666
/arthur/profil/spieler/362842,21-23,121.0,13.0,20.166666666666668
/vincent-laurini/profil/spieler/94936,27-30,237.0,33.0,18.23076923076923
/danilo-silva/profil/spieler/61952,31-34,373.0,32.0,23.3125
/osvaldo-alonso/profil/spieler/62810,31-34,273.0,29.0,16.058823529411764
/tobias-mohr/profil/spieler/153661,21-23,273.0,28.0,39.0
