current_value,highest_value,last_team,prev_team,prev_prev_team,link,value_loss,current_log,double_trans
900000,1130000,Desportivo Aves,Benfica B,Desportivo Aves,/ponck/profil/spieler/341516,-230000,13.710150042306449,2.6181364375191847
540000,630000,Timbers,Millonarios,Timbers,/dairon-asprilla/profil/spieler/260381,-90000,13.199324418540456,2.580165647868961
28800000,34200000,Spurs,Paris SG,São Paulo,/lucas-moura/profil/spieler/77100,-5400000,17.175885945106174,2.84350642019033
2250000,2250000,Bournemouth,Norwich,Bournemouth,/andrew-surman/profil/spieler/29975,0,14.626440774180603,2.6828309027395756
9000000,9000000,SC Freiburg,1.FC K'lautern,K'lautern II,/robin-koch/profil/spieler/328784,0,16.012735135300492,2.773384351599064
2250000,2520000,CSKA Moscow,Ufa,CSKA Moscow,/viktor-vasin/profil/spieler/60134,-270000,14.626440774180603,2.6828309027395756
765000,2250000,Timbers,Estudiantes,Timbers,/lucas-melano/profil/spieler/220753,-1485000,13.547631112808673,2.606211706418953
16200000,27000000,Paris SG,Loko Moscow,Paris SG,/grzegorz-krychowiak/profil/spieler/45184,-10800000,16.600521800202614,2.8094341286156133
3600000,3600000,Athletic,CD Leganés,Athletic,/iago-herrerin/profil/spieler/71570,0,15.096444403426338,2.7144592461217063
1080000,1080000,Loko Moscow,Loko Moscow II,Akademia Loko,/mikhail-lysov/profil/spieler/289590,0,13.892471599100402,2.6313470818366054
180000,180000,Millwall,Portsmouth,Millwall,/ben-thompson/profil/spieler/337062,0,12.100712129872347,2.493264304579342
5400000,5400000,Fulham,Bristol City,Plymouth,/joe-bryan/profil/spieler/194460,0,15.501909511534503,2.740963210629956
315000,585000,Orlando City SC,Vancouver,LA Galaxy,/brian-rowe/profil/spieler/213545,-270000,12.66032791780777,2.5384733182611328
225000,225000,Rotherham,Northampt. Town,Rangers,/matt-crooks/profil/spieler/169416,0,12.323855681186558,2.5115368702785252
225000,2700000,Y. Malatyaspor,Göztepe,Besiktas,/omer-sismanoglu/profil/spieler/50774,-2475000,12.323855681186558,2.5115368702785252
2250000,2250000,Dinamo Moscow,CSKA Moscow,Dinamo Moscow,/kirill-panchenko/profil/spieler/106675,0,14.626440774180603,2.6828309027395756
180000,180000,VVV-Venlo,SV Deurne,Quick Boys '31,/delano-van-crooij/profil/spieler/159143,0,12.100712129872347,2.493264304579342
270000,270000,FC Volendam,FC Emmen,FC Groningen,/hilal-ben-moussa/profil/spieler/223405,0,12.506177237980511,2.5262227012804486
4050000,4050000,RB Leipzig,NY Red Bulls,NY Red Bulls II,/tyler-adams/profil/spieler/332705,0,15.214227439082721,2.7222310057917984
900000,1350000,FC St. Pauli,Heerenveen,FC Volendam,/henk-veerman/profil/spieler/271743,-450000,13.710150042306449,2.6181364375191847
270000,1260000,Antalyaspor,Basaksehir,Sivasspor,/hakan-ozmert/profil/spieler/17465,-990000,12.506177237980511,2.5262227012804486
