league,link,teams
La Liga 2 (SPA),/rcd-mallorca/startseite/verein/237,RCD Mallorca
La Liga 2 (SPA),/albacete-balompie/startseite/verein/1532,Albacete Balompié
La Liga 2 (SPA),/cd-numancia/startseite/verein/2296,CD Numancia
La Liga 2 (SPA),/real-oviedo/startseite/verein/2497,Real Oviedo
La Liga 2 (SPA),/cd-lugo/startseite/verein/11000,CD Lugo
La Liga 2 (SPA),/gimnastic-de-tarragona/startseite/verein/5648,Gimnàstic de Tarragona
La Liga 2 (SPA),/cf-rayo-majadahonda/startseite/verein/13702,CF Rayo Majadahonda
La Liga 2 (SPA),/fc-elche/startseite/verein/1531,Elche CF
La Liga 2 (SPA),/fc-reus-deportiu/startseite/verein/13225,CF Reus Deportiu
La Liga 2 (SPA),/deportivo-la-coruna/startseite/verein/897,Deportivo de La Coruña
La Liga 2 (SPA),/extremadura-ud/startseite/verein/29095,Extremadura UD
La Liga 2 (SPA),/ud-almeria/startseite/verein/3302,UD Almería
La Liga 2 (SPA),/ad-alcorcon/startseite/verein/11596,AD Alcorcón
La Liga 2 (SPA),/cadiz-cf/startseite/verein/2687,Cádiz CF
La Liga 2 (SPA),/ud-las-palmas/startseite/verein/472,UD Las Palmas
La Liga 2 (SPA),/fc-cordoba/startseite/verein/993,Córdoba CF
La Liga 2 (SPA),/fc-malaga/startseite/verein/1084,Málaga CF
Super League (CHI),/tianjin-teda/startseite/verein/3187,Tianjin Teda
Super League (CHI),/shenzhen-ruby/startseite/verein/1320,Shenzhen FC
Super League (CHI),/tianjin-songjiang-f-c-/startseite/verein/33714,Tianjin Tianhai
Super League (CHI),/wuhan-zall-professional-f-c/startseite/verein/6450,Wuhan Zall
Super League (CHI),/hebei-zhongji/startseite/verein/36630,Hebei China Fortune
Super League (CHI),/henan-jianye/startseite/verein/9982,Henan Jianye
Super League (CHI),/guizhou-renhe-f-c-/startseite/verein/17250,Beijing Renhe
Super League (CHI),/chongqing-lifan/startseite/verein/1326,Chongqing Dangdai Lifan
Super League (CHI),/guangzhou-r-amp-f-f-c-/startseite/verein/18916,Guangzhou R&amp;F
Super League (CHI),/shandong-luneng-taishan-f-c-/startseite/verein/3182,Shandong Luneng Taishan
Super League (CHI),/shanghai-greenland/startseite/verein/3183,Shanghai Greenland Shenhua
Super League (CHI),/jiangsu-guoxin-sainty/startseite/verein/22219,Jiangsu Suning
Super League (CHI),/shanghai-east-asia/startseite/verein/27190,Shanghai SIPG
Super League (CHI),/guangzhou-evergrande-f-c-/startseite/verein/10948,Guangzhou Evergrande Taobao
Super League (CHI),/beijing-guoan/startseite/verein/3176,Beijing Sinobo Guoan
Super League (CHI),/dalian-aerbin/startseite/verein/33304,Dalian Yifang
MLS (USA),/new-york-city-fc/startseite/verein/40058,New York City FC
MLS (USA),/columbus-crew/startseite/verein/813,Columbus Crew SC
MLS (USA),/chicago-fire/startseite/verein/432,Chicago Fire
MLS (USA),/portland-timbers/startseite/verein/4291,Portland Timbers
MLS (USA),/seattle-sounders-fc/startseite/verein/9636,Seattle Sounders FC
MLS (USA),/new-york-red-bulls/startseite/verein/623,New York Red Bulls
MLS (USA),/minnesota-united-fc/startseite/verein/56089,Minnesota United FC
MLS (USA),/orlando-city-sc/startseite/verein/45604,Orlando City SC
MLS (USA),/philadelphia-union/startseite/verein/25467,Philadelphia Union
MLS (USA),/houston-dynamo/startseite/verein/9168,Houston Dynamo
MLS (USA),/fc-cincinnati/startseite/verein/51772,FC Cincinnati
MLS (USA),/new-england-revolution/startseite/verein/626,New England Revolution
MLS (USA),/fc-dallas/startseite/verein/8816,FC Dallas
MLS (USA),/vancouver-whitecaps/startseite/verein/6321,Vancouver Whitecaps FC
MLS (USA),/san-jose-earthquakes/startseite/verein/218,San Jose Earthquakes
MLS (USA),/real-salt-lake-city/startseite/verein/6643,Real Salt Lake City
MLS (USA),/montreal-impact/startseite/verein/4078,Montreal Impact
MLS (USA),/colorado-rapids/startseite/verein/1247,Colorado Rapids
MLS (USA),/los-angeles-galaxy/startseite/verein/1061,Los Angeles Galaxy
MLS (USA),/sporting-kansas-city/startseite/verein/4284,Sporting Kansas City
MLS (USA),/los-angeles-football-club/startseite/verein/51828,Los Angeles FC
MLS (USA),/atlanta-united-fc/startseite/verein/51663,Atlanta United FC
MLS (USA),/d-c-united/startseite/verein/2440,D.C. United
MLS (USA),/toronto-fc/startseite/verein/11141,Toronto FC
